ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2021-03-20,5.379300135301717,3.8452237994786573,7.435669473450325,5.3025345038404605,5.4583296479968135,0.042340512774656044,0.042340512774656044,0.042340512774656044,0.042340512774656044,0.042340512774656044,0.042340512774656044,0.0,0.0,0.0,5.607062461399169
2021-03-21,5.379261383113052,3.3246769017297804,6.943166296277483,5.302344395545588,5.458557703463813,-0.0399128302022359,-0.0399128302022359,-0.0399128302022359,-0.0399128302022359,-0.0399128302022359,-0.0399128302022359,0.0,0.0,0.0,5.164559836915416
2021-03-22,5.379222630924387,3.6785031975434093,7.4822811960396205,5.302154287250715,5.458785758930813,0.04224297345923088,0.04224297345923088,0.04224297345923088,0.04224297345923088,0.04224297345923088,0.04224297345923088,0.0,0.0,0.0,5.60645698975382
2021-03-23,5.379183878735723,2.913416270003073,6.670496417663044,5.3019787902314155,5.459013814397814,-0.10451744233458947,-0.10451744233458947,-0.10451744233458947,-0.10451744233458947,-0.10451744233458947,-0.10451744233458947,0.0,0.0,0.0,4.816965337882809
2021-03-24,5.3791451265470585,3.549580290668098,7.300979778315002,5.301831099609007,5.4592418698648135,-0.004183907274071301,-0.004183907274071301,-0.004183907274071301,-0.004183907274071301,-0.004183907274071301,-0.004183907274071301,0.0,0.0,0.0,5.356639282123814
2021-03-25,5.379106374358393,3.41119496978526,7.177492924974414,5.301565756124135,5.459469925331814,-0.015807238201031398,-0.015807238201031398,-0.015807238201031398,-0.015807238201031398,-0.015807238201031398,-0.015807238201031398,0.0,0.0,0.0,5.294077558590224
2021-03-26,5.379067622169728,3.9606036942267036,7.689795761525817,5.301356343586637,5.459686281060775,0.0798379317780005,0.0798379317780005,0.0798379317780005,0.0798379317780005,0.0798379317780005,0.0798379317780005,0.0,0.0,0.0,5.808521256017766
2021-03-27,5.379028869981064,3.6302639946879087,7.351234568623959,5.301146931049139,5.459900703105795,0.042340512774709224,0.042340512774709224,0.042340512774709224,0.042340512774709224,0.042340512774709224,0.042340512774709224,0.0,0.0,0.0,5.606779710566027
2021-03-28,5.3789901177924,3.3197899249052982,6.9763683051631,5.300791335204554,5.460112158346607,-0.03991283020228125,-0.03991283020228125,-0.03991283020228125,-0.03991283020228125,-0.03991283020228125,-0.03991283020228125,0.0,0.0,0.0,5.164299398561203
2021-03-29,5.378951365603735,3.7334185753868705,7.401528938668023,5.300368150841589,5.460372360220238,0.0422429734590807,0.0422429734590807,0.0422429734590807,0.0422429734590807,0.0422429734590807,0.0422429734590807,0.0,0.0,0.0,5.60617426537862
2021-03-30,5.3789126134150695,3.009444436725494,6.619910419716043,5.299944966478623,5.460521505449259,-0.10451744233461471,-0.10451744233461471,-0.10451744233461471,-0.10451744233461471,-0.10451744233461471,-0.10451744233461471,0.0,0.0,0.0,4.816722424519528
2021-03-31,5.378873861226405,3.571726137145266,7.185042727832379,5.299521782115658,5.460737589250583,-0.004183907273898994,-0.004183907273898994,-0.004183907273898994,-0.004183907273898994,-0.004183907273898994,-0.004183907273898994,0.0,0.0,0.0,5.356369151753035
2021-04-01,5.378835109037741,3.397837693348682,7.108239772875462,5.29915829887689,5.460804293784916,-0.015807238200563192,-0.015807238200563192,-0.015807238200563192,-0.015807238200563192,-0.015807238200563192,-0.015807238200563192,0.0,0.0,0.0,5.293810581227629
2021-04-02,5.378796356849076,4.005308104467525,7.61309118563446,5.29881311764581,5.4607666771732255,0.0798379317779168,0.0798379317779168,0.0798379317779168,0.0798379317779168,0.0798379317779168,0.0798379317779168,0.0,0.0,0.0,5.808228333434499
2021-04-03,5.378757604660411,3.7446930848352102,7.437730162203636,5.29846793641473,5.4607395748724485,0.04234051277476242,0.04234051277476242,0.04234051277476242,0.04234051277476242,0.04234051277476242,0.04234051277476242,0.0,0.0,0.0,5.606496959732886
2021-04-04,5.378718852471747,3.474580812805282,6.841265795351493,5.2981250129529185,5.460731671106819,-0.03991283020236105,-0.03991283020236105,-0.03991283020236105,-0.03991283020236105,-0.03991283020236105,-0.03991283020236105,0.0,0.0,0.0,5.1640389602068035
2021-04-05,5.378680100283082,3.7801946944770033,7.40781262446961,5.297793781679021,5.460723040043036,0.04224297345928352,0.04224297345928352,0.04224297345928352,0.04224297345928352,0.04224297345928352,0.04224297345928352,0.0,0.0,0.0,5.605891541005317
2021-04-06,5.378641348094417,2.905661275052554,6.792693146031205,5.297462550405124,5.4610301812459525,-0.10451744233465006,-0.10451744233465006,-0.10451744233465006,-0.10451744233465006,-0.10451744233465006,-0.10451744233465006,0.0,0.0,0.0,4.816479511156194
2021-04-07,5.378602595905752,3.637323629268322,7.090315244267757,5.2971313191312275,5.461464307007671,-0.004183907273912289,-0.004183907273912289,-0.004183907273912289,-0.004183907273912289,-0.004183907273912289,-0.004183907273912289,0.0,0.0,0.0,5.356099021381259
2021-04-08,5.378563843717088,3.4313820441741956,7.10796406347669,5.296803889684454,5.461883281393295,-0.015807238201105214,-0.015807238201105214,-0.015807238201105214,-0.015807238201105214,-0.015807238201105214,-0.015807238201105214,0.0,0.0,0.0,5.2935436038596
2021-04-09,5.378525091528424,3.963459258034616,7.612252268739653,5.296477494553977,5.462030969295367,0.07983793177822986,0.07983793177822986,0.07983793177822986,0.07983793177822986,0.07983793177822986,0.07983793177822986,0.0,0.0,0.0,5.807935410853368
2021-04-10,5.378486339339759,3.841630134250608,7.4152639651275445,5.296184823122967,5.462002658570785,0.0423405127748156,0.0423405127748156,0.0423405127748156,0.0423405127748156,0.0423405127748156,0.0423405127748156,0.0,0.0,0.0,5.606214208899744
2021-04-11,5.3784475871510935,3.3595507911384934,7.02646070168461,5.295930713665424,5.461974347846201,-0.039912830202117756,-0.039912830202117756,-0.039912830202117756,-0.039912830202117756,-0.039912830202117756,-0.039912830202117756,0.0,0.0,0.0,5.163778521854142
2021-04-12,5.378408834962429,3.625942494871129,7.497504875416207,5.295676604207882,5.461946037121619,0.042242973459133346,0.042242973459133346,0.042242973459133346,0.042242973459133346,0.042242973459133346,0.042242973459133346,0.0,0.0,0.0,5.605608816630116
2021-04-13,5.378370082773765,2.8827717942399516,6.475577572599877,5.2954258347959025,5.461917726397037,-0.10451744233450717,-0.10451744233450717,-0.10451744233450717,-0.10451744233450717,-0.10451744233450717,-0.10451744233450717,0.0,0.0,0.0,4.816236597793819
2021-04-14,5.3783313305851,3.5439262660513875,7.296053344176653,5.295175924904058,5.461927806403331,-0.00418390727392557,-0.00418390727392557,-0.00418390727392557,-0.00418390727392557,-0.00418390727392557,-0.00418390727392557,0.0,0.0,0.0,5.355828891009483
2021-04-15,5.378292578396435,3.4250034147662123,7.0299085507827055,5.294926015012214,5.462070799668565,-0.015807238200966425,-0.015807238200966425,-0.015807238200966425,-0.015807238200966425,-0.015807238200966425,-0.015807238200966425,0.0,0.0,0.0,5.293276626495232
2021-04-16,5.378253826207771,3.98948411638469,7.638994668795333,5.2946761051203675,5.462213792933799,0.079837931777727,0.079837931777727,0.079837931777727,0.079837931777727,0.079837931777727,0.079837931777727,0.0,0.0,0.0,5.807642488267845
